cycle_number,charge_capacity_mAh_g,discharge_capacity_mAh_g,coulombic_efficiency,voltage_mean_V,current_mA,temperature_C,mass_active_g,notes
1,178.2,175.1,0.983,3.72,150.0,25.0,0.0125,formation
2,176.8,174.3,0.986,3.71,150.0,25.0,0.0125,formation
3,175.5,173.0,0.986,3.70,300.0,25.0,0.0125,rate-test
4,174.1,171.8,0.987,3.69,300.0,25.0,0.0125,
5,173.0,170.5,0.986,3.68,300.0,25.0,0.0125,
10,169.4,166.9,0.985,3.66,300.0,25.0,0.0125,
20,164.2,161.5,0.984,3.64,300.0,25.0,0.0125,
30,159.8,157.0,0.982,3.62,300.0,25.0,0.0125,
50,152.3,149.2,0.980,3.60,300.0,25.0,0.0125,
75,144.8,141.5,0.977,3.58,300.0,25.0,0.0125,
100,138.1,134.6,0.975,3.56,300.0,25.0,0.0125,check-SEI-growth
150,128.4,124.8,0.972,3.53,300.0,25.0,0.0125,
200,119.7,115.9,0.968,3.51,300.0,25.0,0.0125,RUL-point
